Data,Suspeitos
2020-03-18,14
2020-03-19,22
2020-03-20,38
2020-03-21,47
2020-03-22,52
2020-03-23,54
2020-03-24,51
2020-03-25,39
2020-03-26,59
2020-03-27,110
2020-03-28,145
2020-03-29,182
2020-03-30,209
2020-03-31,370
2020-04-01,554
2020-04-02,562
2020-04-03,630
2020-04-04,664
2020-04-05,651
2020-04-06,602
2020-04-07,411
2020-04-08,381
2020-04-09,337
2020-04-10,355
2020-04-11,331
2020-04-12,311
2020-04-13,325
2020-04-14,324
2020-04-15,356
2020-04-16,361
2020-04-17,377
2020-04-18,406
2020-04-19,397
2020-04-20,358
2020-04-21,371
2020-04-22,371
2020-04-23,398
2020-04-24,371
2020-04-25,400
2020-04-26,383
2020-04-27,378
2020-04-28,420
2020-04-29,443
2020-04-30,417
2020-05-01,480
2020-05-02,445
2020-05-03,461
2020-05-04,421
2020-05-05,415
2020-05-06,376
2020-05-07,381
2020-05-08,315
2020-05-09,388
2020-05-10,354
2020-05-11,302
2020-05-12,319
2020-05-13,326
2020-05-14,282
2020-05-15,323
2020-05-16,312
2020-05-17,307
2020-05-18,255
2020-05-19,332
2020-05-20,416
2020-05-21,415
2020-05-22,433
2020-05-23,393
2020-05-24,430
2020-05-25,527
2020-05-26,507
2020-05-27,431
2020-05-28,356
2020-05-29,281
2020-05-30,362
2020-05-31,404
2020-06-01,416
2020-06-02,362
2020-06-03,302
2020-06-04,400
2020-06-05,401
2020-06-06,510
2020-06-07,545
2020-06-08,603
2020-06-09,640
2020-06-10,668
2020-06-11,675
2020-06-12,749
2020-06-13,756
2020-06-14,802
2020-06-15,768
2020-06-16,956
2020-06-17,1183
2020-06-18,1392
2020-06-19,1503
2020-06-20,1664
2020-06-21,1641
2020-06-22,1785
2020-06-23,2020
2020-06-24,2168
2020-06-25,2510
2020-06-26,2947
2020-06-27,3239
2020-06-28,3347
2020-06-29,3360
2020-06-30,3574
2020-07-01,3629
2020-07-02,3683
2020-07-03,3678
2020-07-04,3806
2020-07-05,3575
2020-07-06,3706
2020-07-07,3686
2020-07-08,3935
2020-07-09,4016
2020-07-10,4191
2020-07-11,4163
2020-07-12,4003
2020-07-13,4072
2020-07-14,4155
2020-07-15,4236
2020-07-16,4378
2020-07-17,4445
2020-07-18,4446
2020-07-19,4216
2020-07-20,4227
2020-07-21,4360
2020-07-22,4549
2020-07-23,4543
2020-07-24,4532
2020-07-25,4441
2020-07-26,4426
2020-07-27,4385
2020-07-28,4559
2020-07-29,4655
2020-07-30,4698
2020-07-31,4590
2020-08-01,4674
2020-08-02,4641
2020-08-03,4629
2020-08-04,4702
2020-08-05,4701
2020-08-06,4723
2020-08-07,4841
2020-08-08,4899
2020-08-09,4871
2020-08-10,4869
2020-08-11,4912
2020-08-12,4883
2020-08-13,4752
2020-08-14,4943
2020-08-15,5009
2020-08-16,4967
2020-08-17,5061
2020-08-18,4766
2020-08-19,4702
2020-08-20,4653
2020-08-21,4565
2020-08-22,4598
2020-08-23,4449
2020-08-24,4412
2020-08-25,4574
2020-08-26,4914
2020-08-27,5363
2020-08-28,5683
2020-08-29,5811
2020-08-30,5748
2020-08-31,5955
2020-09-01,6170
2020-09-02,6005
2020-09-03,6092
2020-09-04,6075
2020-09-05,6092
2020-09-06,5955
2020-09-07,5813
2020-09-08,5903
2020-09-09,5849
2020-09-10,5977
2020-09-11,6154
2020-09-12,6181
2020-09-13,6048
2020-09-14,6128
2020-09-15,6174
2020-09-16,6596
2020-09-17,6602
2020-09-18,6823
2020-09-19,6886
2020-09-20,6926
2020-09-21,6881
2020-09-22,6991
2020-09-23,6881
2020-09-24,6837
2020-09-25,6736
2020-09-26,6764
2020-09-27,6740
2020-09-28,6639
2020-09-29,6657
2020-09-30,6595
2020-10-01,6467
2020-10-02,6602
2020-10-03,6729
2020-10-04,6708
2020-10-05,6967
2020-10-06,7095
2020-10-07,7196
2020-10-08,7121
2020-10-09,7165
2020-10-10,7207
2020-10-11,7206
2020-10-12,7194
2020-10-13,7053
2020-10-14,7249
2020-10-15,7012
2020-10-16,7009
2020-10-17,6917
2020-10-18,6917
2020-10-19,6957
2020-10-20,6850
2020-10-21,6986
2020-10-22,6929
2020-10-23,6877
2020-10-24,7004
2020-10-25,6937
2020-10-26,6834
2020-10-27,6994
2020-10-28,7238
2020-10-29,7491
2020-10-30,7780
2020-10-31,7817
2020-11-01,7786
2020-11-02,7745
2020-11-03,7840
2020-11-04,8040
2020-11-05,8285
2020-11-06,8596
2020-11-07,8788
2020-11-08,9001
2020-11-09,9200
2020-11-10,9396
2020-11-11,9617
2020-11-12,9961
2020-11-13,10150
2020-11-14,10404
2020-11-15,10632
2020-11-16,10717
2020-11-17,11024
2020-11-18,11409
2020-11-19,11832
2020-11-20,12199
2020-11-21,12683
2020-11-22,12388
2020-11-23,12252
2020-11-24,12810
2020-11-25,13221
2020-11-26,13758
2020-11-27,14104
2020-11-28,14338
2020-11-29,14335
2020-11-30,14415
2020-12-01,14643
2020-12-02,13761
2020-12-03,13220
2020-12-04,12584
2020-12-05,12541
2020-12-06,12726
2020-12-07,13019
2020-12-08,12677
2020-12-09,12580
2020-12-10,12591
2020-12-11,12536
2020-12-12,12840
2020-12-13,12620
2020-12-14,12518
2020-12-15,12796
2020-12-16,13116
2020-12-17,13218
2020-12-18,13555
2020-12-19,13950
2020-12-20,13841
2020-12-21,13854
2020-12-22,13804
2020-12-23,13926
2020-12-24,14115
2020-12-27,14405
2020-12-28,14337
2020-12-29,14486
2020-12-30,14667
2020-12-31,14991
2021-01-03,15247
2021-01-04,15221
2021-01-05,15661
2021-01-06,16042
2021-01-07,16550
2021-01-08,16940
2021-01-09,17162
