Data,Encerrados_diario,Suspeitos_diario,moving_average_encerrados,moving_average_suspeitos
2020-03-18,0.0,15.0,0.0,15.0
2020-03-19,0.0,9.0,0.0,12.0
2020-03-20,0.0,16.0,0.0,13.333333333333334
2020-03-21,0.0,10.0,0.0,12.5
2020-03-22,0.0,5.0,0.0,11.0
2020-03-23,0.0,3.0,0.0,9.666666666666666
2020-03-24,0.0,-3.0,0.0,7.857142857142857
2020-03-25,0.0,-11.0,0.0,4.142857142857143
2020-03-26,0.0,20.0,0.0,5.714285714285714
2020-03-27,0.0,55.0,0.0,11.285714285714286
2020-03-28,0.0,38.0,0.0,15.285714285714286
2020-03-29,0.0,37.0,0.0,19.857142857142858
2020-03-30,0.0,169.0,0.0,43.57142857142857
2020-03-31,45.0,206.0,0.0,73.42857142857143
2020-04-01,28.0,215.0,0.0,105.71428571428571
2020-04-02,36.0,47.0,0.0,109.57142857142857
2020-04-03,10.0,81.0,0.0,113.28571428571429
2020-04-04,5.0,45.0,0.0,114.28571428571429
2020-04-05,46.0,35.0,0.0,114.0
2020-04-06,60.0,16.0,32.857142857142854,92.14285714285714
2020-04-07,231.0,41.0,59.42857142857143,68.57142857142857
2020-04-08,104.0,77.0,70.28571428571429,48.857142857142854
2020-04-09,68.0,26.0,74.85714285714286,45.857142857142854
2020-04-10,8.0,27.0,74.57142857142857,38.142857142857146
2020-04-11,47.0,24.0,80.57142857142857,35.142857142857146
2020-04-12,55.0,36.0,81.85714285714286,35.285714285714285
2020-04-13,3.0,19.0,73.71428571428571,35.714285714285715
2020-04-14,43.0,43.0,46.857142857142854,36.0
2020-04-15,49.0,82.0,39.0,36.714285714285715
2020-04-16,41.0,46.0,35.142857142857146,39.57142857142857
2020-04-17,18.0,35.0,36.57142857142857,40.714285714285715
2020-04-18,21.0,50.0,32.857142857142854,44.42857142857143
2020-04-19,29.0,21.0,29.142857142857142,42.285714285714285
2020-04-20,63.0,25.0,37.714285714285715,43.142857142857146
2020-04-21,39.0,52.0,37.142857142857146,44.42857142857143
2020-04-22,43.0,46.0,36.285714285714285,39.285714285714285
2020-04-23,47.0,78.0,37.142857142857146,43.857142857142854
2020-04-24,91.0,67.0,47.57142857142857,48.42857142857143
2020-04-25,66.0,96.0,54.0,55.0
2020-04-26,56.0,45.0,57.857142857142854,58.42857142857143
2020-04-27,42.0,37.0,54.857142857142854,60.142857142857146
2020-04-28,62.0,108.0,58.142857142857146,68.14285714285714
2020-04-29,53.0,80.0,59.57142857142857,73.0
2020-04-30,86.0,68.0,65.14285714285714,71.57142857142857
2020-05-01,62.0,133.0,61.0,81.0
2020-05-02,71.0,40.0,61.714285714285715,73.0
2020-05-03,40.0,58.0,59.42857142857143,74.85714285714286
2020-05-04,66.0,26.0,62.857142857142854,73.28571428571429
2020-05-05,57.0,52.0,62.142857142857146,65.28571428571429
2020-05-06,126.0,91.0,72.57142857142857,66.85714285714286
2020-05-07,66.0,75.0,69.71428571428571,67.85714285714286
2020-05-08,116.0,50.0,77.42857142857143,56.0
2020-05-09,24.0,98.0,70.71428571428571,64.28571428571429
2020-05-10,54.0,21.0,72.71428571428571,59.0
2020-05-11,64.0,14.0,72.42857142857143,57.285714285714285
2020-05-12,73.0,95.0,74.71428571428571,63.42857142857143
2020-05-13,112.0,124.0,72.71428571428571,68.14285714285714
2020-05-14,70.0,31.0,73.28571428571429,61.857142857142854
2020-05-15,17.0,61.0,59.142857142857146,63.42857142857143
2020-05-16,85.0,94.0,67.85714285714286,62.857142857142854
2020-05-17,32.0,35.0,64.71428571428571,64.85714285714286
2020-05-18,82.0,53.0,67.28571428571429,70.42857142857143
2020-05-19,45.0,128.0,63.285714285714285,75.14285714285714
2020-05-20,66.0,169.0,56.714285714285715,81.57142857142857
2020-05-21,151.0,155.0,68.28571428571429,99.28571428571429
2020-05-22,98.0,139.0,79.85714285714286,110.42857142857143
2020-05-23,75.0,49.0,78.42857142857143,104.0
2020-05-24,75.0,133.0,84.57142857142857,118.0
2020-05-25,42.0,150.0,78.85714285714286,131.85714285714286
2020-05-26,193.0,195.0,100.0,141.42857142857142
2020-05-27,176.0,116.0,115.71428571428571,133.85714285714286
2020-05-28,204.0,137.0,123.28571428571429,131.28571428571428
2020-05-29,157.0,101.0,131.71428571428572,125.85714285714286
2020-05-30,98.0,190.0,135.0,146.0
2020-05-31,58.0,113.0,132.57142857142858,143.14285714285714
2020-06-01,81.0,101.0,138.14285714285714,136.14285714285714
2020-06-02,198.0,160.0,138.85714285714286,131.14285714285714
2020-06-03,107.0,81.0,129.0,126.14285714285714
2020-06-04,93.0,202.0,113.14285714285714,135.42857142857142
2020-06-05,85.0,139.0,102.85714285714286,140.85714285714286
2020-06-06,0.0,121.0,88.85714285714286,131.0
2020-06-07,176.0,225.0,105.71428571428571,147.0
2020-06-08,123.0,200.0,111.71428571428571,161.14285714285714
2020-06-09,128.0,222.0,101.71428571428571,170.0
2020-06-10,146.0,222.0,107.28571428571429,190.14285714285714
2020-06-11,165.0,224.0,117.57142857142857,193.28571428571428
2020-06-12,79.0,199.0,116.71428571428571,201.85714285714286
2020-06-13,134.0,168.0,135.85714285714286,208.57142857142858
2020-06-14,75.0,144.0,121.42857142857143,197.0
2020-06-15,157.0,182.0,126.28571428571429,194.42857142857142
2020-06-16,148.0,381.0,129.14285714285714,217.14285714285714
2020-06-17,100.0,354.0,122.57142857142857,236.0
2020-06-18,190.0,444.0,126.14285714285714,267.42857142857144
2020-06-19,206.0,378.0,144.28571428571428,293.0
2020-06-20,148.0,360.0,146.28571428571428,320.42857142857144
2020-06-21,116.0,127.0,152.14285714285714,318.0
2020-06-22,94.0,279.0,143.14285714285714,331.85714285714283
2020-06-23,148.0,448.0,143.14285714285714,341.42857142857144
2020-06-24,202.0,409.0,157.71428571428572,349.2857142857143
2020-06-25,197.0,583.0,158.71428571428572,369.14285714285717
2020-06-26,155.0,629.0,151.42857142857142,405.0
2020-06-27,27.0,382.0,134.14285714285714,408.14285714285717
2020-06-28,65.0,198.0,126.85714285714286,418.2857142857143
2020-06-29,251.0,310.0,149.28571428571428,422.7142857142857
2020-06-30,161.0,402.0,151.14285714285714,416.14285714285717
2020-07-01,251.0,345.0,158.14285714285714,407.0
2020-07-02,197.0,309.0,158.14285714285714,367.85714285714283
2020-07-03,263.0,315.0,173.57142857142858,323.0
2020-07-04,46.0,257.0,176.28571428571428,305.14285714285717
2020-07-05,288.0,148.0,208.14285714285714,298.0
2020-07-06,208.0,403.0,202.0,311.2857142857143
2020-07-07,355.0,402.0,229.71428571428572,311.2857142857143
2020-07-08,181.0,494.0,219.71428571428572,332.57142857142856
2020-07-09,213.0,335.0,222.0,336.2857142857143
2020-07-10,259.0,471.0,221.42857142857142,358.57142857142856
2020-07-11,171.0,205.0,239.28571428571428,351.14285714285717
2020-07-12,305.0,178.0,241.71428571428572,355.42857142857144
2020-07-13,130.0,254.0,230.57142857142858,334.14285714285717
2020-07-14,219.0,373.0,211.14285714285714,330.0
2020-07-15,145.0,294.0,206.0,301.42857142857144
2020-07-16,427.0,615.0,236.57142857142858,341.42857142857144
2020-07-17,229.0,357.0,232.28571428571428,325.14285714285717
2020-07-18,204.0,278.0,237.0,335.57142857142856
2020-07-19,334.0,207.0,241.14285714285714,339.7142857142857
2020-07-20,235.0,286.0,256.14285714285717,344.2857142857143
2020-07-21,166.0,388.0,248.57142857142858,346.42857142857144
2020-07-22,235.0,493.0,261.42857142857144,374.85714285714283
2020-07-23,234.0,335.0,233.85714285714286,334.85714285714283
2020-07-24,463.0,519.0,267.2857142857143,358.0
2020-07-25,272.0,272.0,277.0,357.14285714285717
2020-07-26,262.0,287.0,266.7142857142857,368.57142857142856
2020-07-27,242.0,249.0,267.7142857142857,363.2857142857143
2020-07-28,196.0,440.0,272.0,370.7142857142857
2020-07-29,308.0,492.0,282.42857142857144,370.57142857142856
2020-07-30,284.0,390.0,289.57142857142856,378.42857142857144
2020-07-31,389.0,354.0,279.0,354.85714285714283
2020-08-01,149.0,290.0,261.42857142857144,357.42857142857144
2020-08-02,175.0,186.0,249.0,343.0
2020-08-03,233.0,296.0,247.71428571428572,349.7142857142857
2020-08-04,267.0,439.0,257.85714285714283,349.57142857142856
2020-08-05,455.0,533.0,278.85714285714283,355.42857142857144
2020-08-06,268.0,383.0,276.57142857142856,354.42857142857144
2020-08-07,364.0,555.0,273.0,383.14285714285717
2020-08-08,229.0,318.0,284.42857142857144,387.14285714285717
2020-08-09,227.0,243.0,291.85714285714283,395.2857142857143
2020-08-10,288.0,390.0,299.7142857142857,408.7142857142857
2020-08-11,348.0,521.0,311.2857142857143,420.42857142857144
2020-08-12,428.0,462.0,307.42857142857144,410.2857142857143
2020-08-13,613.0,562.0,356.7142857142857,435.85714285714283
2020-08-14,298.0,582.0,347.2857142857143,439.7142857142857
2020-08-15,290.0,392.0,356.0,450.2857142857143
2020-08-16,229.0,229.0,356.2857142857143,448.2857142857143
2020-08-17,285.0,456.0,355.85714285714283,457.7142857142857
2020-08-18,689.0,503.0,404.57142857142856,455.14285714285717
2020-08-19,539.0,578.0,420.42857142857144,471.7142857142857
2020-08-20,357.0,448.0,383.85714285714283,455.42857142857144
2020-08-21,477.0,497.0,409.42857142857144,443.2857142857143
2020-08-22,184.0,276.0,394.2857142857143,426.7142857142857
2020-08-23,260.0,163.0,398.7142857142857,417.2857142857143
2020-08-24,321.0,396.0,403.85714285714283,408.7142857142857
2020-08-25,274.0,582.0,344.57142857142856,420.0
2020-08-26,234.0,620.0,301.0,426.0
2020-08-27,191.0,719.0,277.2857142857143,464.7142857142857
2020-08-28,152.0,579.0,230.85714285714286,476.42857142857144
2020-08-29,240.0,435.0,238.85714285714286,499.14285714285717
2020-08-30,187.0,181.0,228.42857142857142,501.7142857142857
2020-08-31,233.0,506.0,215.85714285714286,517.4285714285714
2020-09-01,235.0,509.0,210.28571428571428,507.0
2020-09-02,532.0,494.0,252.85714285714286,489.0
2020-09-03,276.0,473.0,265.0,453.85714285714283
2020-09-04,342.0,413.0,292.14285714285717,430.14285714285717
2020-09-05,218.0,284.0,289.0,408.57142857142856
2020-09-06,205.0,143.0,291.57142857142856,403.14285714285717
2020-09-07,231.0,136.0,291.2857142857143,350.2857142857143
2020-09-08,171.0,332.0,282.14285714285717,325.0
2020-09-09,384.0,414.0,261.0,313.57142857142856
2020-09-10,194.0,445.0,249.28571428571428,309.57142857142856
2020-09-11,238.0,491.0,234.42857142857142,320.7142857142857
2020-09-12,165.0,249.0,226.85714285714286,315.7142857142857
2020-09-13,282.0,190.0,237.85714285714286,322.42857142857144
2020-09-14,313.0,423.0,249.57142857142858,363.42857142857144
2020-09-15,368.0,476.0,277.7142857142857,384.0
2020-09-16,98.0,608.0,236.85714285714286,411.7142857142857
2020-09-17,392.0,466.0,265.14285714285717,414.7142857142857
2020-09-18,170.0,466.0,255.42857142857142,411.14285714285717
2020-09-19,172.0,264.0,256.42857142857144,413.2857142857143
2020-09-20,86.0,161.0,228.42857142857142,409.14285714285717
2020-09-21,296.0,360.0,226.0,400.14285714285717
2020-09-22,249.0,475.0,209.0,400.0
2020-09-23,519.0,464.0,269.14285714285717,379.42857142857144
2020-09-24,341.0,373.0,261.85714285714283,366.14285714285717
2020-09-25,343.0,324.0,286.57142857142856,345.85714285714283
2020-09-26,143.0,271.0,282.42857142857144,346.85714285714283
2020-09-27,114.0,164.0,286.42857142857144,347.2857142857143
2020-09-28,348.0,306.0,293.85714285714283,339.57142857142856
2020-09-29,366.0,476.0,310.57142857142856,339.7142857142857
2020-09-30,297.0,364.0,278.85714285714283,325.42857142857144
2020-10-01,385.0,342.0,285.14285714285717,321.0
2020-10-02,240.0,429.0,270.42857142857144,336.0
2020-10-03,93.0,264.0,263.2857142857143,335.0
2020-10-04,91.0,100.0,260.0,325.85714285714283
2020-10-05,258.0,556.0,247.14285714285714,361.57142857142856
2020-10-06,176.0,414.0,220.0,352.7142857142857
2020-10-07,125.0,316.0,195.42857142857142,345.85714285714283
2020-10-08,305.0,335.0,184.0,344.85714285714283
2020-10-09,297.0,393.0,192.14285714285714,339.7142857142857
2020-10-10,97.0,199.0,192.71428571428572,330.42857142857144
2020-10-11,110.0,143.0,195.42857142857142,336.57142857142856
2020-10-12,124.0,132.0,176.28571428571428,276.0
2020-10-13,397.0,354.0,207.85714285714286,267.42857142857144
2020-10-14,235.0,505.0,223.57142857142858,294.42857142857144
2020-10-15,640.0,485.0,271.42857142857144,315.85714285714283
2020-10-16,251.0,350.0,264.85714285714283,309.7142857142857
2020-10-17,261.0,234.0,288.2857142857143,314.7142857142857
2020-10-18,107.0,162.0,287.85714285714283,317.42857142857144
2020-10-19,259.0,363.0,307.14285714285717,350.42857142857144
2020-10-20,401.0,375.0,307.7142857142857,353.42857142857144
2020-10-21,226.0,455.0,306.42857142857144,346.2857142857143
2020-10-22,383.0,385.0,269.7142857142857,332.0
2020-10-23,333.0,371.0,281.42857142857144,335.0
2020-10-24,198.0,393.0,272.42857142857144,357.7142857142857
2020-10-25,118.0,128.0,274.0,352.85714285714283
2020-10-26,230.0,194.0,269.85714285714283,328.7142857142857
2020-10-27,185.0,464.0,239.0,341.42857142857144
2020-10-28,212.0,498.0,237.0,347.57142857142856
2020-10-29,140.0,490.0,202.28571428571428,362.57142857142856
2020-10-30,81.0,416.0,166.28571428571428,369.0
2020-10-31,143.0,204.0,158.42857142857142,342.0
2020-11-01,137.0,123.0,161.14285714285714,341.2857142857143
2020-11-02,152.0,138.0,150.0,333.2857142857143
2020-11-03,136.0,284.0,143.0,307.57142857142856
2020-11-04,208.0,480.0,142.42857142857142,305.0
2020-11-05,239.0,566.0,156.57142857142858,315.85714285714283
2020-11-06,110.0,597.0,160.71428571428572,341.7142857142857
2020-11-07,110.0,345.0,156.0,361.85714285714283
2020-11-08,94.0,352.0,149.85714285714286,394.57142857142856
2020-11-09,280.0,555.0,168.14285714285714,454.14285714285717
2020-11-10,257.0,562.0,185.42857142857142,493.85714285714283
2020-11-11,275.0,640.0,195.0,516.7142857142857
2020-11-12,176.0,724.0,186.0,539.2857142857143
2020-11-13,312.0,711.0,214.85714285714286,555.5714285714286
2020-11-14,134.0,493.0,218.28571428571428,576.7142857142857
2020-11-15,120.0,440.0,222.0,589.2857142857143
2020-11-16,198.0,470.0,210.28571428571428,577.1428571428571
2020-11-17,124.0,734.0,191.28571428571428,601.7142857142857
2020-11-18,286.0,869.0,192.85714285714286,634.4285714285714
2020-11-19,252.0,855.0,203.71428571428572,653.1428571428571
2020-11-20,312.0,854.0,203.71428571428572,673.5714285714286
2020-11-21,111.0,657.0,200.42857142857142,697.0
2020-11-22,591.0,397.0,267.7142857142857,690.8571428571429
2020-11-23,420.0,688.0,299.42857142857144,722.0
2020-11-24,113.0,1078.0,297.85714285714283,771.1428571428571
2020-11-25,368.0,1042.0,309.57142857142856,795.8571428571429
2020-11-26,293.0,1039.0,315.42857142857144,822.1428571428571
2020-11-27,224.0,833.0,302.85714285714283,819.1428571428571
2020-11-28,196.0,638.0,315.0,816.4285714285714
2020-11-29,163.0,370.0,253.85714285714286,812.5714285714286
2020-11-30,95.0,584.0,207.42857142857142,797.7142857142857
2020-12-01,296.0,848.0,233.57142857142858,764.8571428571429
2020-12-02,1365.0,713.0,376.0,717.8571428571429
2020-12-03,1121.0,899.0,494.2857142857143,697.8571428571429
2020-12-04,1144.0,799.0,625.7142857142857,693.0
2020-12-05,368.0,473.0,650.2857142857143,669.4285714285714
2020-12-06,31.0,281.0,631.4285714285714,656.7142857142857
2020-12-07,198.0,600.0,646.1428571428571,659.0
2020-12-08,486.0,677.0,673.2857142857143,634.5714285714286
2020-12-09,433.0,758.0,540.1428571428571,641.0
2020-12-10,524.0,839.0,454.85714285714283,632.4285714285714
2020-12-11,534.0,880.0,367.7142857142857,644.0
2020-12-12,393.0,1071.0,371.2857142857143,729.4285714285714
2020-12-13,62.0,-133.0,375.7142857142857,670.2857142857143
2020-12-14,349.0,505.0,397.2857142857143,656.7142857142857
2020-12-15,203.0,884.0,356.85714285714283,686.2857142857143
2020-12-16,264.0,953.0,332.7142857142857,714.1428571428571
2020-12-17,320.0,729.0,303.57142857142856,698.4285714285714
2020-12-18,334.0,828.0,275.0,691.0
2020-12-19,307.0,890.0,262.7142857142857,665.1428571428571
2020-12-20,399.0,489.0,310.85714285714283,754.0
2020-12-21,348.0,499.0,310.7142857142857,753.1428571428571
2020-12-22,318.0,672.0,327.14285714285717,722.8571428571429
2020-12-23,303.0,666.0,332.7142857142857,681.8571428571429
2020-12-24,103.0,432.0,301.7142857142857,639.4285714285714
2020-12-27,228.0,655.0,286.57142857142856,614.7142857142857
2020-12-28,388.0,483.0,298.14285714285717,556.5714285714286
2020-12-29,270.0,619.0,279.7142857142857,575.1428571428571
2020-12-30,419.0,780.0,289.85714285714283,615.2857142857143
